FID,CID,TP,Lat,Long
0,0,7.000000000000000,26.345621675600000,-80.601218421300004
1,0,7.000000000000000,26.344614137299999,-80.600286106799999
2,0,10.000000000000000,26.345909241200001,-80.600491222900004
3,0,8.000000000000000,26.344989063700002,-80.599026471299993
4,0,12.000000000000000,26.346102261399999,-80.600333653199996
5,0,8.000000000000000,26.344822352600001,-80.600205864399996
6,0,9.000000000000000,26.345562519200001,-80.599798429600000
7,0,6.000000000000000,26.344686797100000,-80.600699469500000
8,0,9.000000000000000,26.345988182599999,-80.599336793800006
9,0,11.000000000000000,26.345829453600000,-80.599965926600007
10,0,9.000000000000000,26.346189475799999,-80.599023767600002
11,0,7.000000000000000,26.344265231800001,-80.600078416700001
12,0,6.000000000000000,26.344797444200001,-80.600970878499993
13,0,10.000000000000000,26.345732678400001,-80.600415538899995
14,0,9.000000000000000,26.344439567300000,-80.599384681299995
15,0,7.000000000000000,26.344365598100001,-80.600295804900000
16,0,9.000000000000000,26.345258061300001,-80.600634580399998
17,0,8.000000000000000,26.345921382099998,-80.599198773400005
18,0,7.000000000000000,26.344852822899998,-80.599048528400004
19,0,8.000000000000000,26.344507474200000,-80.598931219400001
20,0,6.000000000000000,26.344258096400001,-80.600644757699996
21,0,8.000000000000000,26.346056233799999,-80.598964827800003
22,0,7.000000000000000,26.345119695000001,-80.600673530400002
23,0,6.000000000000000,26.345120598499999,-80.601174205099994
24,0,9.000000000000000,26.346352994800000,-80.599604540499996
