FID,CID,POINT_X,POINT_Y,Lat,Long
0,0,786218.382575000054203,734038.637971000047401,-80.602853289600006,26.352573734100002
1,0,786365.579222999978811,733784.766222000005655,-80.602406183100001,26.351874043900001
2,0,786383.479989000014029,734440.880437999963760,-80.602345347099998,26.353678971699999
3,0,786014.105340000009164,734189.936779999989085,-80.603475671900000,26.352991710300000
4,0,786105.532821999979205,733719.790160999982618,-80.603200892199993,26.351697485399999
5,0,786006.397425999981351,733593.385993000003509,-80.603504805499995,26.351350564400001
6,0,786344.514712000032887,733869.131441000034101,-80.602469713999994,26.352106325099999
7,0,786589.693434000015259,734047.194397000013851,-80.601719336700000,26.352594126600000
8,0,786164.416200999985449,733976.754701000056230,-80.603018668000004,26.352403939700000
9,0,786317.019869999960065,734274.224560000002384,-80.602549865499995,26.353221036800001
10,0,786653.900067999958992,734203.852926000021398,-80.601521791899998,26.353024575100001
11,0,786176.668562000035308,733834.846728999982588,-80.602982585899994,26.352013423399999
12,0,786291.555522999959067,734049.510532999993302,-80.602629739099996,26.352603026800001
13,0,786334.834281999967061,733736.492943000048399,-80.602500522300005,26.351741496500001
14,0,786582.400795000023209,733890.442876999964938,-80.601743083200006,26.352162938999999
15,0,786339.823153999983333,734198.212963000056334,-80.602480945600007,26.353011723000002
16,0,786293.734382999944501,733847.055016000056639,-80.602624988800002,26.352046019399999
17,0,786463.270831999951042,734352.426337999990210,-80.602102520200006,26.353434943200000
18,0,786566.481603999971412,733764.166393000050448,-80.601792885099997,26.351815666400000
19,0,786616.495742999948561,733841.624188999994658,-80.601639427899997,26.352028341200000
20,0,786715.931142000015825,733991.714054999989457,-80.601334367700005,26.352440418800001
21,0,786522.661350999958813,733604.106435999972746,-80.601928205500002,26.351375686600001
22,0,786390.823028999962844,733964.247524000005797,-80.602327407900006,26.352367612900000
23,0,786443.617459999979474,733996.277027999982238,-80.602165888299993,26.352455283800001
24,0,786651.804435000056401,734498.994828999973834,-80.601525408900002,26.353836577300001
