FID,CID,Lat,Long
0,0,-80.600444333300004,26.346705197100000
1,0,-80.601297145199993,26.346621519199999
2,0,-80.600203940100002,26.345883556299999
3,0,-80.602007567900003,26.346308895699998
4,0,-80.599836827299995,26.347588100199999
5,0,-80.601657378699997,26.345842254200001
6,0,-80.601438762000001,26.345825036899999
7,0,-80.601650723999995,26.347915136099999
8,0,-80.600835086700002,26.347515556200001
9,0,-80.601955590599999,26.345877587600000
10,0,-80.601162943299997,26.347843486900000
11,0,-80.600675467399995,26.347324789500000
12,0,-80.600710158599995,26.347835174800000
13,0,-80.602275049100001,26.347697312600001
14,0,-80.599907146700005,26.348217093999999
15,0,-80.600840820200006,26.347239646700000
16,0,-80.600578554400002,26.348412277900000
17,0,-80.602016641700004,26.347942132000000
18,0,-80.601993944599997,26.346681111300001
19,0,-80.601722576900002,26.347387125299999
20,0,-80.600620694400007,26.347044709999999
21,0,-80.602138538999995,26.348315520300002
22,0,-80.600146008999999,26.348369157000000
23,0,-80.601268797100005,26.347086840500001
24,0,-80.601841781700003,26.346816569500000
